DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Bahrain,1,Race,True
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Bahrain,1,Race,True
14,ALO,Aston Martin,5.0,3.0,Finished,2023,Bahrain,1,Race,True
55,SAI,Ferrari,4.0,4.0,Finished,2023,Bahrain,1,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Bahrain,1,Race,True
18,STR,Aston Martin,8.0,6.0,Finished,2023,Bahrain,1,Race,True
63,RUS,Mercedes,6.0,7.0,Finished,2023,Bahrain,1,Race,True
77,BOT,Alfa Romeo,12.0,8.0,Finished,2023,Bahrain,1,Race,True
10,GAS,Alpine,20.0,9.0,Finished,2023,Bahrain,1,Race,True
23,ALB,Williams,15.0,10.0,Finished,2023,Bahrain,1,Race,True
22,TSU,AlphaTauri,14.0,11.0,Finished,2023,Bahrain,1,Race,True
2,SAR,Williams,16.0,12.0,Lapped,2023,Bahrain,1,Race,True
20,MAG,Haas F1 Team,17.0,13.0,Lapped,2023,Bahrain,1,Race,True
21,DEV,AlphaTauri,19.0,14.0,Lapped,2023,Bahrain,1,Race,True
27,HUL,Haas F1 Team,10.0,15.0,Lapped,2023,Bahrain,1,Race,True
24,ZHO,Alfa Romeo,13.0,16.0,Lapped,2023,Bahrain,1,Race,True
4,NOR,McLaren,11.0,17.0,Lapped,2023,Bahrain,1,Race,True
31,OCO,Alpine,9.0,18.0,Retired,2023,Bahrain,1,Race,False
16,LEC,Ferrari,3.0,19.0,Retired,2023,Bahrain,1,Race,False
81,PIA,McLaren,18.0,20.0,Retired,2023,Bahrain,1,Race,False
11,PER,Red Bull Racing,1.0,1.0,Finished,2023,Saudi Arabian,2,Race,True
1,VER,Red Bull Racing,15.0,2.0,Finished,2023,Saudi Arabian,2,Race,True
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Saudi Arabian,2,Race,True
63,RUS,Mercedes,3.0,4.0,Finished,2023,Saudi Arabian,2,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Saudi Arabian,2,Race,True
55,SAI,Ferrari,4.0,6.0,Finished,2023,Saudi Arabian,2,Race,True
16,LEC,Ferrari,12.0,7.0,Finished,2023,Saudi Arabian,2,Race,True
31,OCO,Alpine,6.0,8.0,Finished,2023,Saudi Arabian,2,Race,True
10,GAS,Alpine,9.0,9.0,Finished,2023,Saudi Arabian,2,Race,True
20,MAG,Haas F1 Team,13.0,10.0,Finished,2023,Saudi Arabian,2,Race,True
22,TSU,AlphaTauri,16.0,11.0,Finished,2023,Saudi Arabian,2,Race,True
27,HUL,Haas F1 Team,10.0,12.0,Finished,2023,Saudi Arabian,2,Race,True
24,ZHO,Alfa Romeo,11.0,13.0,Finished,2023,Saudi Arabian,2,Race,True
21,DEV,AlphaTauri,18.0,14.0,Finished,2023,Saudi Arabian,2,Race,True
81,PIA,McLaren,8.0,15.0,Finished,2023,Saudi Arabian,2,Race,True
2,SAR,Williams,20.0,16.0,Finished,2023,Saudi Arabian,2,Race,True
4,NOR,McLaren,19.0,17.0,Finished,2023,Saudi Arabian,2,Race,True
77,BOT,Alfa Romeo,14.0,18.0,Lapped,2023,Saudi Arabian,2,Race,True
23,ALB,Williams,17.0,19.0,Retired,2023,Saudi Arabian,2,Race,False
18,STR,Aston Martin,5.0,20.0,Retired,2023,Saudi Arabian,2,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Australian,3,Race,True
44,HAM,Mercedes,3.0,2.0,Finished,2023,Australian,3,Race,True
14,ALO,Aston Martin,4.0,3.0,Finished,2023,Australian,3,Race,True
18,STR,Aston Martin,6.0,4.0,Finished,2023,Australian,3,Race,True
11,PER,Red Bull Racing,20.0,5.0,Finished,2023,Australian,3,Race,True
4,NOR,McLaren,13.0,6.0,Finished,2023,Australian,3,Race,True
27,HUL,Haas F1 Team,10.0,7.0,Finished,2023,Australian,3,Race,True
81,PIA,McLaren,16.0,8.0,Finished,2023,Australian,3,Race,True
24,ZHO,Alfa Romeo,17.0,9.0,Finished,2023,Australian,3,Race,True
22,TSU,AlphaTauri,12.0,10.0,Finished,2023,Australian,3,Race,True
77,BOT,Alfa Romeo,19.0,11.0,Finished,2023,Australian,3,Race,True
55,SAI,Ferrari,5.0,12.0,Finished,2023,Australian,3,Race,True
10,GAS,Alpine,9.0,13.0,Retired,2023,Australian,3,Race,False
31,OCO,Alpine,11.0,14.0,Retired,2023,Australian,3,Race,False
21,DEV,AlphaTauri,15.0,15.0,Retired,2023,Australian,3,Race,False
2,SAR,Williams,18.0,16.0,Retired,2023,Australian,3,Race,False
20,MAG,Haas F1 Team,14.0,17.0,Retired,2023,Australian,3,Race,False
63,RUS,Mercedes,2.0,18.0,Retired,2023,Australian,3,Race,False
23,ALB,Williams,8.0,19.0,Retired,2023,Australian,3,Race,False
16,LEC,Ferrari,7.0,20.0,Retired,2023,Australian,3,Race,False
11,PER,Red Bull Racing,3.0,1.0,Finished,2023,Azerbaijan,4,Race,True
1,VER,Red Bull Racing,2.0,2.0,Finished,2023,Azerbaijan,4,Race,True
16,LEC,Ferrari,1.0,3.0,Finished,2023,Azerbaijan,4,Race,True
14,ALO,Aston Martin,6.0,4.0,Finished,2023,Azerbaijan,4,Race,True
55,SAI,Ferrari,4.0,5.0,Finished,2023,Azerbaijan,4,Race,True
44,HAM,Mercedes,5.0,6.0,Finished,2023,Azerbaijan,4,Race,True
18,STR,Aston Martin,9.0,7.0,Finished,2023,Azerbaijan,4,Race,True
63,RUS,Mercedes,11.0,8.0,Finished,2023,Azerbaijan,4,Race,True
4,NOR,McLaren,7.0,9.0,Finished,2023,Azerbaijan,4,Race,True
22,TSU,AlphaTauri,8.0,10.0,Finished,2023,Azerbaijan,4,Race,True
81,PIA,McLaren,10.0,11.0,Finished,2023,Azerbaijan,4,Race,True
23,ALB,Williams,12.0,12.0,Finished,2023,Azerbaijan,4,Race,True
20,MAG,Haas F1 Team,16.0,13.0,Finished,2023,Azerbaijan,4,Race,True
10,GAS,Alpine,17.0,14.0,Finished,2023,Azerbaijan,4,Race,True
31,OCO,Alpine,19.0,15.0,Finished,2023,Azerbaijan,4,Race,True
2,SAR,Williams,14.0,16.0,Finished,2023,Azerbaijan,4,Race,True
27,HUL,Haas F1 Team,20.0,17.0,Lapped,2023,Azerbaijan,4,Race,True
77,BOT,Alfa Romeo,13.0,18.0,Lapped,2023,Azerbaijan,4,Race,True
24,ZHO,Alfa Romeo,15.0,19.0,Retired,2023,Azerbaijan,4,Race,False
21,DEV,AlphaTauri,18.0,20.0,Retired,2023,Azerbaijan,4,Race,False
1,VER,Red Bull Racing,9.0,1.0,Finished,2023,Miami,5,Race,True
11,PER,Red Bull Racing,1.0,2.0,Finished,2023,Miami,5,Race,True
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Miami,5,Race,True
63,RUS,Mercedes,6.0,4.0,Finished,2023,Miami,5,Race,True
55,SAI,Ferrari,3.0,5.0,Finished,2023,Miami,5,Race,True
44,HAM,Mercedes,13.0,6.0,Finished,2023,Miami,5,Race,True
16,LEC,Ferrari,7.0,7.0,Finished,2023,Miami,5,Race,True
10,GAS,Alpine,5.0,8.0,Finished,2023,Miami,5,Race,True
31,OCO,Alpine,8.0,9.0,Finished,2023,Miami,5,Race,True
20,MAG,Haas F1 Team,4.0,10.0,Finished,2023,Miami,5,Race,True
22,TSU,AlphaTauri,17.0,11.0,Finished,2023,Miami,5,Race,True
18,STR,Aston Martin,18.0,12.0,Finished,2023,Miami,5,Race,True
77,BOT,Alfa Romeo,10.0,13.0,Finished,2023,Miami,5,Race,True
23,ALB,Williams,11.0,14.0,Finished,2023,Miami,5,Race,True
27,HUL,Haas F1 Team,12.0,15.0,Finished,2023,Miami,5,Race,True
24,ZHO,Alfa Romeo,14.0,16.0,Finished,2023,Miami,5,Race,True
4,NOR,McLaren,16.0,17.0,Finished,2023,Miami,5,Race,True
21,DEV,AlphaTauri,15.0,18.0,Finished,2023,Miami,5,Race,True
81,PIA,McLaren,19.0,19.0,Lapped,2023,Miami,5,Race,True
2,SAR,Williams,20.0,20.0,Lapped,2023,Miami,5,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Monaco,6,Race,True
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Monaco,6,Race,True
31,OCO,Alpine,3.0,3.0,Finished,2023,Monaco,6,Race,True
44,HAM,Mercedes,5.0,4.0,Finished,2023,Monaco,6,Race,True
63,RUS,Mercedes,8.0,5.0,Finished,2023,Monaco,6,Race,True
16,LEC,Ferrari,6.0,6.0,Finished,2023,Monaco,6,Race,True
10,GAS,Alpine,7.0,7.0,Finished,2023,Monaco,6,Race,True
55,SAI,Ferrari,4.0,8.0,Finished,2023,Monaco,6,Race,True
4,NOR,McLaren,10.0,9.0,Lapped,2023,Monaco,6,Race,True
81,PIA,McLaren,11.0,10.0,Lapped,2023,Monaco,6,Race,True
77,BOT,Alfa Romeo,15.0,11.0,Lapped,2023,Monaco,6,Race,True
21,DEV,AlphaTauri,12.0,12.0,Lapped,2023,Monaco,6,Race,True
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Monaco,6,Race,True
23,ALB,Williams,13.0,14.0,Lapped,2023,Monaco,6,Race,True
22,TSU,AlphaTauri,9.0,15.0,Lapped,2023,Monaco,6,Race,True
11,PER,Red Bull Racing,20.0,16.0,Lapped,2023,Monaco,6,Race,True
27,HUL,Haas F1 Team,18.0,17.0,Lapped,2023,Monaco,6,Race,True
2,SAR,Williams,16.0,18.0,Lapped,2023,Monaco,6,Race,True
20,MAG,Haas F1 Team,17.0,19.0,Retired,2023,Monaco,6,Race,False
18,STR,Aston Martin,14.0,20.0,Retired,2023,Monaco,6,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Spanish,7,Race,True
44,HAM,Mercedes,4.0,2.0,Finished,2023,Spanish,7,Race,True
63,RUS,Mercedes,12.0,3.0,Finished,2023,Spanish,7,Race,True
11,PER,Red Bull Racing,11.0,4.0,Finished,2023,Spanish,7,Race,True
55,SAI,Ferrari,2.0,5.0,Finished,2023,Spanish,7,Race,True
18,STR,Aston Martin,5.0,6.0,Finished,2023,Spanish,7,Race,True
14,ALO,Aston Martin,8.0,7.0,Finished,2023,Spanish,7,Race,True
31,OCO,Alpine,6.0,8.0,Finished,2023,Spanish,7,Race,True
24,ZHO,Alfa Romeo,13.0,9.0,Finished,2023,Spanish,7,Race,True
10,GAS,Alpine,10.0,10.0,Finished,2023,Spanish,7,Race,True
16,LEC,Ferrari,19.0,11.0,Finished,2023,Spanish,7,Race,True
22,TSU,AlphaTauri,15.0,12.0,Finished,2023,Spanish,7,Race,True
81,PIA,McLaren,9.0,13.0,Lapped,2023,Spanish,7,Race,True
21,DEV,AlphaTauri,14.0,14.0,Lapped,2023,Spanish,7,Race,True
27,HUL,Haas F1 Team,7.0,15.0,Lapped,2023,Spanish,7,Race,True
23,ALB,Williams,18.0,16.0,Lapped,2023,Spanish,7,Race,True
4,NOR,McLaren,3.0,17.0,Lapped,2023,Spanish,7,Race,True
20,MAG,Haas F1 Team,17.0,18.0,Lapped,2023,Spanish,7,Race,True
77,BOT,Alfa Romeo,16.0,19.0,Lapped,2023,Spanish,7,Race,True
2,SAR,Williams,20.0,20.0,Lapped,2023,Spanish,7,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Canadian,8,Race,True
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Canadian,8,Race,True
44,HAM,Mercedes,3.0,3.0,Finished,2023,Canadian,8,Race,True
16,LEC,Ferrari,10.0,4.0,Finished,2023,Canadian,8,Race,True
55,SAI,Ferrari,11.0,5.0,Finished,2023,Canadian,8,Race,True
11,PER,Red Bull Racing,12.0,6.0,Finished,2023,Canadian,8,Race,True
23,ALB,Williams,9.0,7.0,Finished,2023,Canadian,8,Race,True
31,OCO,Alpine,6.0,8.0,Finished,2023,Canadian,8,Race,True
18,STR,Aston Martin,16.0,9.0,Finished,2023,Canadian,8,Race,True
77,BOT,Alfa Romeo,14.0,10.0,Finished,2023,Canadian,8,Race,True
81,PIA,McLaren,8.0,11.0,Finished,2023,Canadian,8,Race,True
10,GAS,Alpine,15.0,12.0,Finished,2023,Canadian,8,Race,True
4,NOR,McLaren,7.0,13.0,Finished,2023,Canadian,8,Race,True
22,TSU,AlphaTauri,19.0,14.0,Finished,2023,Canadian,8,Race,True
27,HUL,Haas F1 Team,5.0,15.0,Lapped,2023,Canadian,8,Race,True
24,ZHO,Alfa Romeo,20.0,16.0,Lapped,2023,Canadian,8,Race,True
20,MAG,Haas F1 Team,13.0,17.0,Lapped,2023,Canadian,8,Race,True
21,DEV,AlphaTauri,17.0,18.0,Lapped,2023,Canadian,8,Race,True
63,RUS,Mercedes,4.0,19.0,Retired,2023,Canadian,8,Race,False
2,SAR,Williams,18.0,20.0,Retired,2023,Canadian,8,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Austrian,9,Race,True
16,LEC,Ferrari,2.0,2.0,Finished,2023,Austrian,9,Race,True
11,PER,Red Bull Racing,15.0,3.0,Finished,2023,Austrian,9,Race,True
4,NOR,McLaren,4.0,4.0,Finished,2023,Austrian,9,Race,True
14,ALO,Aston Martin,7.0,5.0,Finished,2023,Austrian,9,Race,True
55,SAI,Ferrari,3.0,6.0,Finished,2023,Austrian,9,Race,True
63,RUS,Mercedes,11.0,7.0,Finished,2023,Austrian,9,Race,True
44,HAM,Mercedes,5.0,8.0,Finished,2023,Austrian,9,Race,True
18,STR,Aston Martin,6.0,9.0,Finished,2023,Austrian,9,Race,True
10,GAS,Alpine,9.0,10.0,Finished,2023,Austrian,9,Race,True
23,ALB,Williams,10.0,11.0,Finished,2023,Austrian,9,Race,True
24,ZHO,Alfa Romeo,17.0,12.0,Lapped,2023,Austrian,9,Race,True
2,SAR,Williams,18.0,13.0,Lapped,2023,Austrian,9,Race,True
31,OCO,Alpine,12.0,14.0,Lapped,2023,Austrian,9,Race,True
77,BOT,Alfa Romeo,14.0,15.0,Lapped,2023,Austrian,9,Race,True
81,PIA,McLaren,13.0,16.0,Lapped,2023,Austrian,9,Race,True
21,DEV,AlphaTauri,20.0,17.0,Lapped,2023,Austrian,9,Race,True
20,MAG,Haas F1 Team,19.0,18.0,Lapped,2023,Austrian,9,Race,True
22,TSU,AlphaTauri,16.0,19.0,Lapped,2023,Austrian,9,Race,True
27,HUL,Haas F1 Team,8.0,20.0,Retired,2023,Austrian,9,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,British,10,Race,True
4,NOR,McLaren,2.0,2.0,Finished,2023,British,10,Race,True
44,HAM,Mercedes,7.0,3.0,Finished,2023,British,10,Race,True
81,PIA,McLaren,3.0,4.0,Finished,2023,British,10,Race,True
63,RUS,Mercedes,6.0,5.0,Finished,2023,British,10,Race,True
11,PER,Red Bull Racing,15.0,6.0,Finished,2023,British,10,Race,True
14,ALO,Aston Martin,9.0,7.0,Finished,2023,British,10,Race,True
23,ALB,Williams,8.0,8.0,Finished,2023,British,10,Race,True
16,LEC,Ferrari,4.0,9.0,Finished,2023,British,10,Race,True
55,SAI,Ferrari,5.0,10.0,Finished,2023,British,10,Race,True
2,SAR,Williams,14.0,11.0,Finished,2023,British,10,Race,True
77,BOT,Alfa Romeo,20.0,12.0,Finished,2023,British,10,Race,True
27,HUL,Haas F1 Team,11.0,13.0,Finished,2023,British,10,Race,True
18,STR,Aston Martin,12.0,14.0,Finished,2023,British,10,Race,True
24,ZHO,Alfa Romeo,17.0,15.0,Finished,2023,British,10,Race,True
22,TSU,AlphaTauri,16.0,16.0,Finished,2023,British,10,Race,True
21,DEV,AlphaTauri,18.0,17.0,Finished,2023,British,10,Race,True
10,GAS,Alpine,10.0,18.0,Retired,2023,British,10,Race,False
20,MAG,Haas F1 Team,19.0,19.0,Retired,2023,British,10,Race,False
31,OCO,Alpine,13.0,20.0,Retired,2023,British,10,Race,False
1,VER,Red Bull Racing,2.0,1.0,Finished,2023,Hungarian,11,Race,True
4,NOR,McLaren,3.0,2.0,Finished,2023,Hungarian,11,Race,True
11,PER,Red Bull Racing,9.0,3.0,Finished,2023,Hungarian,11,Race,True
44,HAM,Mercedes,1.0,4.0,Finished,2023,Hungarian,11,Race,True
81,PIA,McLaren,4.0,5.0,Finished,2023,Hungarian,11,Race,True
63,RUS,Mercedes,18.0,6.0,Finished,2023,Hungarian,11,Race,True
16,LEC,Ferrari,6.0,7.0,Finished,2023,Hungarian,11,Race,True
55,SAI,Ferrari,11.0,8.0,Finished,2023,Hungarian,11,Race,True
14,ALO,Aston Martin,8.0,9.0,Finished,2023,Hungarian,11,Race,True
18,STR,Aston Martin,14.0,10.0,Lapped,2023,Hungarian,11,Race,True
23,ALB,Williams,16.0,11.0,Lapped,2023,Hungarian,11,Race,True
77,BOT,Alfa Romeo,7.0,12.0,Lapped,2023,Hungarian,11,Race,True
3,RIC,AlphaTauri,13.0,13.0,Lapped,2023,Hungarian,11,Race,True
27,HUL,Haas F1 Team,10.0,14.0,Lapped,2023,Hungarian,11,Race,True
22,TSU,AlphaTauri,17.0,15.0,Lapped,2023,Hungarian,11,Race,True
24,ZHO,Alfa Romeo,5.0,16.0,Lapped,2023,Hungarian,11,Race,True
20,MAG,Haas F1 Team,19.0,17.0,Lapped,2023,Hungarian,11,Race,True
2,SAR,Williams,20.0,18.0,Retired,2023,Hungarian,11,Race,False
31,OCO,Alpine,12.0,19.0,Retired,2023,Hungarian,11,Race,False
10,GAS,Alpine,15.0,20.0,Retired,2023,Hungarian,11,Race,False
1,VER,Red Bull Racing,6.0,1.0,Finished,2023,Belgian,12,Race,True
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Belgian,12,Race,True
16,LEC,Ferrari,1.0,3.0,Finished,2023,Belgian,12,Race,True
44,HAM,Mercedes,3.0,4.0,Finished,2023,Belgian,12,Race,True
14,ALO,Aston Martin,9.0,5.0,Finished,2023,Belgian,12,Race,True
63,RUS,Mercedes,8.0,6.0,Finished,2023,Belgian,12,Race,True
4,NOR,McLaren,7.0,7.0,Finished,2023,Belgian,12,Race,True
31,OCO,Alpine,14.0,8.0,Finished,2023,Belgian,12,Race,True
18,STR,Aston Martin,10.0,9.0,Finished,2023,Belgian,12,Race,True
22,TSU,AlphaTauri,11.0,10.0,Finished,2023,Belgian,12,Race,True
10,GAS,Alpine,12.0,11.0,Finished,2023,Belgian,12,Race,True
77,BOT,Alfa Romeo,13.0,12.0,Finished,2023,Belgian,12,Race,True
24,ZHO,Alfa Romeo,17.0,13.0,Finished,2023,Belgian,12,Race,True
23,ALB,Williams,15.0,14.0,Finished,2023,Belgian,12,Race,True
20,MAG,Haas F1 Team,16.0,15.0,Finished,2023,Belgian,12,Race,True
3,RIC,AlphaTauri,19.0,16.0,Finished,2023,Belgian,12,Race,True
2,SAR,Williams,18.0,17.0,Finished,2023,Belgian,12,Race,True
27,HUL,Haas F1 Team,20.0,18.0,Finished,2023,Belgian,12,Race,True
55,SAI,Ferrari,4.0,19.0,Retired,2023,Belgian,12,Race,False
81,PIA,McLaren,5.0,20.0,Retired,2023,Belgian,12,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Dutch,13,Race,True
14,ALO,Aston Martin,5.0,2.0,Finished,2023,Dutch,13,Race,True
10,GAS,Alpine,12.0,3.0,Finished,2023,Dutch,13,Race,True
11,PER,Red Bull Racing,7.0,4.0,Finished,2023,Dutch,13,Race,True
55,SAI,Ferrari,6.0,5.0,Finished,2023,Dutch,13,Race,True
44,HAM,Mercedes,13.0,6.0,Finished,2023,Dutch,13,Race,True
4,NOR,McLaren,2.0,7.0,Finished,2023,Dutch,13,Race,True
23,ALB,Williams,4.0,8.0,Finished,2023,Dutch,13,Race,True
81,PIA,McLaren,8.0,9.0,Finished,2023,Dutch,13,Race,True
31,OCO,Alpine,16.0,10.0,Finished,2023,Dutch,13,Race,True
18,STR,Aston Martin,11.0,11.0,Finished,2023,Dutch,13,Race,True
27,HUL,Haas F1 Team,14.0,12.0,Finished,2023,Dutch,13,Race,True
40,LAW,AlphaTauri,19.0,13.0,Finished,2023,Dutch,13,Race,True
77,BOT,Alfa Romeo,18.0,14.0,Finished,2023,Dutch,13,Race,True
22,TSU,AlphaTauri,17.0,15.0,Finished,2023,Dutch,13,Race,True
20,MAG,Haas F1 Team,0.0,16.0,Finished,2023,Dutch,13,Race,True
63,RUS,Mercedes,3.0,17.0,Finished,2023,Dutch,13,Race,True
24,ZHO,Alfa Romeo,15.0,18.0,Accident,2023,Dutch,13,Race,False
16,LEC,Ferrari,9.0,19.0,Undertray,2023,Dutch,13,Race,False
2,SAR,Williams,10.0,20.0,Accident,2023,Dutch,13,Race,False
1,VER,Red Bull Racing,2.0,1.0,Finished,2023,Italian,14,Race,True
11,PER,Red Bull Racing,5.0,2.0,Finished,2023,Italian,14,Race,True
55,SAI,Ferrari,1.0,3.0,Finished,2023,Italian,14,Race,True
16,LEC,Ferrari,3.0,4.0,Finished,2023,Italian,14,Race,True
63,RUS,Mercedes,4.0,5.0,Finished,2023,Italian,14,Race,True
44,HAM,Mercedes,8.0,6.0,Finished,2023,Italian,14,Race,True
23,ALB,Williams,6.0,7.0,Finished,2023,Italian,14,Race,True
4,NOR,McLaren,9.0,8.0,Finished,2023,Italian,14,Race,True
14,ALO,Aston Martin,10.0,9.0,Finished,2023,Italian,14,Race,True
77,BOT,Alfa Romeo,14.0,10.0,Finished,2023,Italian,14,Race,True
40,LAW,AlphaTauri,12.0,11.0,Finished,2023,Italian,14,Race,True
81,PIA,McLaren,7.0,12.0,Finished,2023,Italian,14,Race,True
2,SAR,Williams,15.0,13.0,Finished,2023,Italian,14,Race,True
24,ZHO,Alfa Romeo,16.0,14.0,Finished,2023,Italian,14,Race,True
10,GAS,Alpine,17.0,15.0,Finished,2023,Italian,14,Race,True
18,STR,Aston Martin,20.0,16.0,Finished,2023,Italian,14,Race,True
27,HUL,Haas F1 Team,13.0,17.0,Lapped,2023,Italian,14,Race,True
20,MAG,Haas F1 Team,19.0,18.0,Lapped,2023,Italian,14,Race,True
31,OCO,Alpine,18.0,19.0,Retired,2023,Italian,14,Race,False
22,TSU,AlphaTauri,11.0,20.0,Did not start,2023,Italian,14,Race,False
55,SAI,Ferrari,1.0,1.0,Finished,2023,Singapore,15,Race,True
4,NOR,McLaren,4.0,2.0,Finished,2023,Singapore,15,Race,True
44,HAM,Mercedes,5.0,3.0,Finished,2023,Singapore,15,Race,True
16,LEC,Ferrari,3.0,4.0,Finished,2023,Singapore,15,Race,True
1,VER,Red Bull Racing,11.0,5.0,Finished,2023,Singapore,15,Race,True
10,GAS,Alpine,12.0,6.0,Finished,2023,Singapore,15,Race,True
81,PIA,McLaren,17.0,7.0,Finished,2023,Singapore,15,Race,True
11,PER,Red Bull Racing,13.0,8.0,Finished,2023,Singapore,15,Race,True
40,LAW,AlphaTauri,10.0,9.0,Finished,2023,Singapore,15,Race,True
20,MAG,Haas F1 Team,6.0,10.0,Finished,2023,Singapore,15,Race,True
23,ALB,Williams,14.0,11.0,Finished,2023,Singapore,15,Race,True
24,ZHO,Alfa Romeo,19.0,12.0,Finished,2023,Singapore,15,Race,True
27,HUL,Haas F1 Team,9.0,13.0,Finished,2023,Singapore,15,Race,True
2,SAR,Williams,18.0,14.0,Finished,2023,Singapore,15,Race,True
14,ALO,Aston Martin,7.0,15.0,Finished,2023,Singapore,15,Race,True
63,RUS,Mercedes,2.0,16.0,Retired,2023,Singapore,15,Race,False
77,BOT,Alfa Romeo,16.0,17.0,Retired,2023,Singapore,15,Race,False
31,OCO,Alpine,8.0,18.0,Retired,2023,Singapore,15,Race,False
22,TSU,AlphaTauri,15.0,19.0,Retired,2023,Singapore,15,Race,False
18,STR,Aston Martin,,,Withdrew,2023,Singapore,15,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Japanese,16,Race,True
4,NOR,McLaren,3.0,2.0,Finished,2023,Japanese,16,Race,True
81,PIA,McLaren,2.0,3.0,Finished,2023,Japanese,16,Race,True
16,LEC,Ferrari,4.0,4.0,Finished,2023,Japanese,16,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Japanese,16,Race,True
55,SAI,Ferrari,6.0,6.0,Finished,2023,Japanese,16,Race,True
