DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
63,RUS,Mercedes,8.0,7.0,Finished,2023,Japanese,16,Race,True
14,ALO,Aston Martin,10.0,8.0,Finished,2023,Japanese,16,Race,True
31,OCO,Alpine,14.0,9.0,Finished,2023,Japanese,16,Race,True
10,GAS,Alpine,12.0,10.0,Finished,2023,Japanese,16,Race,True
40,LAW,AlphaTauri,11.0,11.0,Lapped,2023,Japanese,16,Race,True
22,TSU,AlphaTauri,9.0,12.0,Lapped,2023,Japanese,16,Race,True
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Japanese,16,Race,True
27,HUL,Haas F1 Team,18.0,14.0,Lapped,2023,Japanese,16,Race,True
20,MAG,Haas F1 Team,15.0,15.0,Lapped,2023,Japanese,16,Race,True
23,ALB,Williams,13.0,16.0,Retired,2023,Japanese,16,Race,False
2,SAR,Williams,20.0,17.0,Retired,2023,Japanese,16,Race,False
18,STR,Aston Martin,17.0,18.0,Retired,2023,Japanese,16,Race,False
11,PER,Red Bull Racing,5.0,19.0,Retired,2023,Japanese,16,Race,False
77,BOT,Alfa Romeo,16.0,20.0,Retired,2023,Japanese,16,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Qatar,17,Race,True
81,PIA,McLaren,6.0,2.0,Finished,2023,Qatar,17,Race,True
4,NOR,McLaren,10.0,3.0,Finished,2023,Qatar,17,Race,True
63,RUS,Mercedes,2.0,4.0,Finished,2023,Qatar,17,Race,True
16,LEC,Ferrari,5.0,5.0,Finished,2023,Qatar,17,Race,True
14,ALO,Aston Martin,4.0,6.0,Finished,2023,Qatar,17,Race,True
31,OCO,Alpine,8.0,7.0,Finished,2023,Qatar,17,Race,True
77,BOT,Alfa Romeo,9.0,8.0,Finished,2023,Qatar,17,Race,True
24,ZHO,Alfa Romeo,19.0,9.0,Finished,2023,Qatar,17,Race,True
11,PER,Red Bull Racing,20.0,10.0,Finished,2023,Qatar,17,Race,True
18,STR,Aston Martin,16.0,11.0,Finished,2023,Qatar,17,Race,True
10,GAS,Alpine,7.0,12.0,Finished,2023,Qatar,17,Race,True
23,ALB,Williams,13.0,13.0,Finished,2023,Qatar,17,Race,True
20,MAG,Haas F1 Team,18.0,14.0,Lapped,2023,Qatar,17,Race,True
22,TSU,AlphaTauri,11.0,15.0,Lapped,2023,Qatar,17,Race,True
27,HUL,Haas F1 Team,14.0,16.0,Lapped,2023,Qatar,17,Race,True
40,LAW,AlphaTauri,17.0,17.0,Lapped,2023,Qatar,17,Race,True
2,SAR,Williams,15.0,18.0,Retired,2023,Qatar,17,Race,False
44,HAM,Mercedes,3.0,19.0,Retired,2023,Qatar,17,Race,False
55,SAI,Ferrari,12.0,20.0,Did not start,2023,Qatar,17,Race,False
1,VER,Red Bull Racing,6.0,1.0,Finished,2023,United States,18,Race,True
4,NOR,McLaren,2.0,2.0,Finished,2023,United States,18,Race,True
55,SAI,Ferrari,4.0,3.0,Finished,2023,United States,18,Race,True
11,PER,Red Bull Racing,9.0,4.0,Finished,2023,United States,18,Race,True
63,RUS,Mercedes,5.0,5.0,Finished,2023,United States,18,Race,True
10,GAS,Alpine,7.0,6.0,Finished,2023,United States,18,Race,True
18,STR,Aston Martin,20.0,7.0,Finished,2023,United States,18,Race,True
22,TSU,AlphaTauri,11.0,8.0,Finished,2023,United States,18,Race,True
23,ALB,Williams,15.0,9.0,Finished,2023,United States,18,Race,True
2,SAR,Williams,16.0,10.0,Finished,2023,United States,18,Race,True
27,HUL,Haas F1 Team,18.0,11.0,Finished,2023,United States,18,Race,True
77,BOT,Alfa Romeo,13.0,12.0,Finished,2023,United States,18,Race,True
24,ZHO,Alfa Romeo,12.0,13.0,Lapped,2023,United States,18,Race,True
20,MAG,Haas F1 Team,17.0,14.0,Lapped,2023,United States,18,Race,True
3,RIC,AlphaTauri,14.0,15.0,Lapped,2023,United States,18,Race,True
14,ALO,Aston Martin,19.0,16.0,Retired,2023,United States,18,Race,False
81,PIA,McLaren,10.0,17.0,Retired,2023,United States,18,Race,False
31,OCO,Alpine,8.0,18.0,Retired,2023,United States,18,Race,False
44,HAM,Mercedes,3.0,19.0,Disqualified,2023,United States,18,Race,False
16,LEC,Ferrari,1.0,20.0,Disqualified,2023,United States,18,Race,False
1,VER,Red Bull Racing,3.0,1.0,Finished,2023,Mexico City,19,Race,True
44,HAM,Mercedes,6.0,2.0,Finished,2023,Mexico City,19,Race,True
16,LEC,Ferrari,1.0,3.0,Finished,2023,Mexico City,19,Race,True
55,SAI,Ferrari,2.0,4.0,Finished,2023,Mexico City,19,Race,True
4,NOR,McLaren,17.0,5.0,Finished,2023,Mexico City,19,Race,True
63,RUS,Mercedes,8.0,6.0,Finished,2023,Mexico City,19,Race,True
3,RIC,AlphaTauri,4.0,7.0,Finished,2023,Mexico City,19,Race,True
81,PIA,McLaren,7.0,8.0,Finished,2023,Mexico City,19,Race,True
23,ALB,Williams,14.0,9.0,Finished,2023,Mexico City,19,Race,True
31,OCO,Alpine,15.0,10.0,Finished,2023,Mexico City,19,Race,True
10,GAS,Alpine,11.0,11.0,Finished,2023,Mexico City,19,Race,True
22,TSU,AlphaTauri,18.0,12.0,Finished,2023,Mexico City,19,Race,True
27,HUL,Haas F1 Team,12.0,13.0,Finished,2023,Mexico City,19,Race,True
24,ZHO,Alfa Romeo,10.0,14.0,Finished,2023,Mexico City,19,Race,True
77,BOT,Alfa Romeo,9.0,15.0,Finished,2023,Mexico City,19,Race,True
2,SAR,Williams,19.0,16.0,Retired,2023,Mexico City,19,Race,False
18,STR,Aston Martin,0.0,17.0,Collision damage,2023,Mexico City,19,Race,False
14,ALO,Aston Martin,13.0,18.0,Withdrew,2023,Mexico City,19,Race,False
20,MAG,Haas F1 Team,16.0,19.0,Accident,2023,Mexico City,19,Race,False
11,PER,Red Bull Racing,5.0,20.0,Collision damage,2023,Mexico City,19,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,São Paulo,20,Race,True
4,NOR,McLaren,6.0,2.0,Finished,2023,São Paulo,20,Race,True
14,ALO,Aston Martin,4.0,3.0,Finished,2023,São Paulo,20,Race,True
11,PER,Red Bull Racing,9.0,4.0,Finished,2023,São Paulo,20,Race,True
18,STR,Aston Martin,3.0,5.0,Finished,2023,São Paulo,20,Race,True
55,SAI,Ferrari,7.0,6.0,Finished,2023,São Paulo,20,Race,True
10,GAS,Alpine,15.0,7.0,Finished,2023,São Paulo,20,Race,True
44,HAM,Mercedes,5.0,8.0,Finished,2023,São Paulo,20,Race,True
22,TSU,AlphaTauri,16.0,9.0,Finished,2023,São Paulo,20,Race,True
31,OCO,Alpine,14.0,10.0,Lapped,2023,São Paulo,20,Race,True
2,SAR,Williams,19.0,11.0,Lapped,2023,São Paulo,20,Race,True
27,HUL,Haas F1 Team,11.0,12.0,Lapped,2023,São Paulo,20,Race,True
3,RIC,AlphaTauri,17.0,13.0,Lapped,2023,São Paulo,20,Race,True
81,PIA,McLaren,10.0,14.0,Lapped,2023,São Paulo,20,Race,True
63,RUS,Mercedes,8.0,15.0,Retired,2023,São Paulo,20,Race,False
77,BOT,Alfa Romeo,18.0,16.0,Retired,2023,São Paulo,20,Race,False
24,ZHO,Alfa Romeo,20.0,17.0,Retired,2023,São Paulo,20,Race,False
20,MAG,Haas F1 Team,12.0,18.0,Retired,2023,São Paulo,20,Race,False
23,ALB,Williams,13.0,19.0,Retired,2023,São Paulo,20,Race,False
16,LEC,Ferrari,2.0,20.0,Did not start,2023,São Paulo,20,Race,False
1,VER,Red Bull Racing,2.0,1.0,Finished,2023,Las Vegas,21,Race,True
16,LEC,Ferrari,1.0,2.0,Finished,2023,Las Vegas,21,Race,True
11,PER,Red Bull Racing,11.0,3.0,Finished,2023,Las Vegas,21,Race,True
31,OCO,Alpine,16.0,4.0,Finished,2023,Las Vegas,21,Race,True
18,STR,Aston Martin,19.0,5.0,Finished,2023,Las Vegas,21,Race,True
55,SAI,Ferrari,12.0,6.0,Finished,2023,Las Vegas,21,Race,True
44,HAM,Mercedes,10.0,7.0,Finished,2023,Las Vegas,21,Race,True
63,RUS,Mercedes,3.0,8.0,Finished,2023,Las Vegas,21,Race,True
14,ALO,Aston Martin,9.0,9.0,Finished,2023,Las Vegas,21,Race,True
81,PIA,McLaren,18.0,10.0,Finished,2023,Las Vegas,21,Race,True
10,GAS,Alpine,4.0,11.0,Finished,2023,Las Vegas,21,Race,True
23,ALB,Williams,5.0,12.0,Finished,2023,Las Vegas,21,Race,True
20,MAG,Haas F1 Team,8.0,13.0,Finished,2023,Las Vegas,21,Race,True
3,RIC,AlphaTauri,14.0,14.0,Finished,2023,Las Vegas,21,Race,True
24,ZHO,Alfa Romeo,17.0,15.0,Finished,2023,Las Vegas,21,Race,True
2,SAR,Williams,6.0,16.0,Finished,2023,Las Vegas,21,Race,True
77,BOT,Alfa Romeo,7.0,17.0,Finished,2023,Las Vegas,21,Race,True
22,TSU,AlphaTauri,20.0,18.0,Retired,2023,Las Vegas,21,Race,False
27,HUL,Haas F1 Team,13.0,19.0,Retired,2023,Las Vegas,21,Race,False
4,NOR,McLaren,15.0,20.0,Retired,2023,Las Vegas,21,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Abu Dhabi,22,Race,True
16,LEC,Ferrari,2.0,2.0,Finished,2023,Abu Dhabi,22,Race,True
63,RUS,Mercedes,4.0,3.0,Finished,2023,Abu Dhabi,22,Race,True
11,PER,Red Bull Racing,9.0,4.0,Finished,2023,Abu Dhabi,22,Race,True
4,NOR,McLaren,5.0,5.0,Finished,2023,Abu Dhabi,22,Race,True
81,PIA,McLaren,3.0,6.0,Finished,2023,Abu Dhabi,22,Race,True
14,ALO,Aston Martin,7.0,7.0,Finished,2023,Abu Dhabi,22,Race,True
22,TSU,AlphaTauri,6.0,8.0,Finished,2023,Abu Dhabi,22,Race,True
44,HAM,Mercedes,11.0,9.0,Finished,2023,Abu Dhabi,22,Race,True
18,STR,Aston Martin,13.0,10.0,Finished,2023,Abu Dhabi,22,Race,True
3,RIC,AlphaTauri,15.0,11.0,Finished,2023,Abu Dhabi,22,Race,True
31,OCO,Alpine,12.0,12.0,Finished,2023,Abu Dhabi,22,Race,True
10,GAS,Alpine,10.0,13.0,Finished,2023,Abu Dhabi,22,Race,True
23,ALB,Williams,14.0,14.0,Finished,2023,Abu Dhabi,22,Race,True
27,HUL,Haas F1 Team,8.0,15.0,Finished,2023,Abu Dhabi,22,Race,True
2,SAR,Williams,20.0,16.0,Finished,2023,Abu Dhabi,22,Race,True
24,ZHO,Alfa Romeo,19.0,17.0,Finished,2023,Abu Dhabi,22,Race,True
55,SAI,Ferrari,16.0,18.0,Retired,2023,Abu Dhabi,22,Race,False
77,BOT,Alfa Romeo,18.0,19.0,Lapped,2023,Abu Dhabi,22,Race,True
20,MAG,Haas F1 Team,17.0,20.0,Lapped,2023,Abu Dhabi,22,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2024,Bahrain,1,Race,True
11,PER,Red Bull Racing,5.0,2.0,Finished,2024,Bahrain,1,Race,True
55,SAI,Ferrari,4.0,3.0,Finished,2024,Bahrain,1,Race,True
16,LEC,Ferrari,2.0,4.0,Finished,2024,Bahrain,1,Race,True
63,RUS,Mercedes,3.0,5.0,Finished,2024,Bahrain,1,Race,True
4,NOR,McLaren,7.0,6.0,Finished,2024,Bahrain,1,Race,True
44,HAM,Mercedes,9.0,7.0,Finished,2024,Bahrain,1,Race,True
81,PIA,McLaren,8.0,8.0,Finished,2024,Bahrain,1,Race,True
14,ALO,Aston Martin,6.0,9.0,Finished,2024,Bahrain,1,Race,True
18,STR,Aston Martin,12.0,10.0,Finished,2024,Bahrain,1,Race,True
24,ZHO,Kick Sauber,17.0,11.0,Lapped,2024,Bahrain,1,Race,True
20,MAG,Haas F1 Team,15.0,12.0,Lapped,2024,Bahrain,1,Race,True
3,RIC,RB,14.0,13.0,Lapped,2024,Bahrain,1,Race,True
22,TSU,RB,11.0,14.0,Lapped,2024,Bahrain,1,Race,True
23,ALB,Williams,13.0,15.0,Lapped,2024,Bahrain,1,Race,True
27,HUL,Haas F1 Team,10.0,16.0,Lapped,2024,Bahrain,1,Race,True
31,OCO,Alpine,19.0,17.0,Lapped,2024,Bahrain,1,Race,True
10,GAS,Alpine,20.0,18.0,Lapped,2024,Bahrain,1,Race,True
77,BOT,Kick Sauber,16.0,19.0,Lapped,2024,Bahrain,1,Race,True
2,SAR,Williams,18.0,20.0,Lapped,2024,Bahrain,1,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2024,Saudi Arabian,2,Race,True
11,PER,Red Bull Racing,3.0,2.0,Finished,2024,Saudi Arabian,2,Race,True
16,LEC,Ferrari,2.0,3.0,Finished,2024,Saudi Arabian,2,Race,True
81,PIA,McLaren,5.0,4.0,Finished,2024,Saudi Arabian,2,Race,True
14,ALO,Aston Martin,4.0,5.0,Finished,2024,Saudi Arabian,2,Race,True
63,RUS,Mercedes,7.0,6.0,Finished,2024,Saudi Arabian,2,Race,True
38,BEA,Ferrari,11.0,7.0,Finished,2024,Saudi Arabian,2,Race,True
4,NOR,McLaren,6.0,8.0,Finished,2024,Saudi Arabian,2,Race,True
44,HAM,Mercedes,8.0,9.0,Finished,2024,Saudi Arabian,2,Race,True
27,HUL,Haas F1 Team,15.0,10.0,Finished,2024,Saudi Arabian,2,Race,True
23,ALB,Williams,12.0,11.0,Finished,2024,Saudi Arabian,2,Race,True
20,MAG,Haas F1 Team,13.0,12.0,Finished,2024,Saudi Arabian,2,Race,True
31,OCO,Alpine,17.0,13.0,Lapped,2024,Saudi Arabian,2,Race,True
2,SAR,Williams,19.0,14.0,Lapped,2024,Saudi Arabian,2,Race,True
22,TSU,RB,9.0,15.0,Lapped,2024,Saudi Arabian,2,Race,True
3,RIC,RB,14.0,16.0,Lapped,2024,Saudi Arabian,2,Race,True
77,BOT,Kick Sauber,16.0,17.0,Lapped,2024,Saudi Arabian,2,Race,True
24,ZHO,Kick Sauber,20.0,18.0,Lapped,2024,Saudi Arabian,2,Race,True
18,STR,Aston Martin,10.0,19.0,Retired,2024,Saudi Arabian,2,Race,False
10,GAS,Alpine,18.0,20.0,Retired,2024,Saudi Arabian,2,Race,False
55,SAI,Ferrari,2.0,1.0,Finished,2024,Australian,3,Race,True
16,LEC,Ferrari,4.0,2.0,Finished,2024,Australian,3,Race,True
4,NOR,McLaren,3.0,3.0,Finished,2024,Australian,3,Race,True
81,PIA,McLaren,5.0,4.0,Finished,2024,Australian,3,Race,True
11,PER,Red Bull Racing,6.0,5.0,Finished,2024,Australian,3,Race,True
18,STR,Aston Martin,9.0,6.0,Finished,2024,Australian,3,Race,True
22,TSU,RB,8.0,7.0,Finished,2024,Australian,3,Race,True
14,ALO,Aston Martin,10.0,8.0,Finished,2024,Australian,3,Race,True
27,HUL,Haas F1 Team,16.0,9.0,Finished,2024,Australian,3,Race,True
20,MAG,Haas F1 Team,14.0,10.0,Lapped,2024,Australian,3,Race,True
23,ALB,Williams,12.0,11.0,Lapped,2024,Australian,3,Race,True
3,RIC,RB,18.0,12.0,Lapped,2024,Australian,3,Race,True
10,GAS,Alpine,17.0,13.0,Lapped,2024,Australian,3,Race,True
77,BOT,Kick Sauber,13.0,14.0,Lapped,2024,Australian,3,Race,True
24,ZHO,Kick Sauber,19.0,15.0,Lapped,2024,Australian,3,Race,True
31,OCO,Alpine,15.0,16.0,Lapped,2024,Australian,3,Race,True
63,RUS,Mercedes,7.0,17.0,Retired,2024,Australian,3,Race,False
44,HAM,Mercedes,11.0,18.0,Retired,2024,Australian,3,Race,False
1,VER,Red Bull Racing,1.0,19.0,Retired,2024,Australian,3,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2024,Japanese,4,Race,True
11,PER,Red Bull Racing,2.0,2.0,Finished,2024,Japanese,4,Race,True
55,SAI,Ferrari,4.0,3.0,Finished,2024,Japanese,4,Race,True
16,LEC,Ferrari,8.0,4.0,Finished,2024,Japanese,4,Race,True
4,NOR,McLaren,3.0,5.0,Finished,2024,Japanese,4,Race,True
14,ALO,Aston Martin,5.0,6.0,Finished,2024,Japanese,4,Race,True
63,RUS,Mercedes,9.0,7.0,Finished,2024,Japanese,4,Race,True
81,PIA,McLaren,6.0,8.0,Finished,2024,Japanese,4,Race,True
44,HAM,Mercedes,7.0,9.0,Finished,2024,Japanese,4,Race,True
22,TSU,RB,10.0,10.0,Lapped,2024,Japanese,4,Race,True
27,HUL,Haas F1 Team,12.0,11.0,Lapped,2024,Japanese,4,Race,True
18,STR,Aston Martin,16.0,12.0,Lapped,2024,Japanese,4,Race,True
20,MAG,Haas F1 Team,18.0,13.0,Lapped,2024,Japanese,4,Race,True
77,BOT,Kick Sauber,13.0,14.0,Lapped,2024,Japanese,4,Race,True
31,OCO,Alpine,15.0,15.0,Lapped,2024,Japanese,4,Race,True
10,GAS,Alpine,17.0,16.0,Lapped,2024,Japanese,4,Race,True
2,SAR,Williams,19.0,17.0,Lapped,2024,Japanese,4,Race,True
24,ZHO,Kick Sauber,20.0,18.0,Retired,2024,Japanese,4,Race,False
3,RIC,RB,11.0,19.0,Retired,2024,Japanese,4,Race,False
23,ALB,Williams,14.0,20.0,Retired,2024,Japanese,4,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2024,Chinese,5,Race,True
4,NOR,McLaren,4.0,2.0,Finished,2024,Chinese,5,Race,True
11,PER,Red Bull Racing,2.0,3.0,Finished,2024,Chinese,5,Race,True
16,LEC,Ferrari,6.0,4.0,Finished,2024,Chinese,5,Race,True
55,SAI,Ferrari,7.0,5.0,Finished,2024,Chinese,5,Race,True
63,RUS,Mercedes,8.0,6.0,Finished,2024,Chinese,5,Race,True
14,ALO,Aston Martin,3.0,7.0,Finished,2024,Chinese,5,Race,True
81,PIA,McLaren,5.0,8.0,Finished,2024,Chinese,5,Race,True
44,HAM,Mercedes,18.0,9.0,Finished,2024,Chinese,5,Race,True
27,HUL,Haas F1 Team,9.0,10.0,Finished,2024,Chinese,5,Race,True
31,OCO,Alpine,13.0,11.0,Finished,2024,Chinese,5,Race,True
23,ALB,Williams,14.0,12.0,Finished,2024,Chinese,5,Race,True
10,GAS,Alpine,15.0,13.0,Finished,2024,Chinese,5,Race,True
24,ZHO,Kick Sauber,16.0,14.0,Finished,2024,Chinese,5,Race,True
18,STR,Aston Martin,11.0,15.0,Finished,2024,Chinese,5,Race,True
20,MAG,Haas F1 Team,17.0,16.0,Finished,2024,Chinese,5,Race,True
2,SAR,Williams,20.0,17.0,Finished,2024,Chinese,5,Race,True
3,RIC,RB,12.0,18.0,Retired,2024,Chinese,5,Race,False
22,TSU,RB,19.0,19.0,Retired,2024,Chinese,5,Race,False
77,BOT,Kick Sauber,10.0,20.0,Retired,2024,Chinese,5,Race,False
4,NOR,McLaren,5.0,1.0,Finished,2024,Miami,6,Race,True
1,VER,Red Bull Racing,1.0,2.0,Finished,2024,Miami,6,Race,True
16,LEC,Ferrari,2.0,3.0,Finished,2024,Miami,6,Race,True
11,PER,Red Bull Racing,4.0,4.0,Finished,2024,Miami,6,Race,True
55,SAI,Ferrari,3.0,5.0,Finished,2024,Miami,6,Race,True
44,HAM,Mercedes,8.0,6.0,Finished,2024,Miami,6,Race,True
22,TSU,RB,10.0,7.0,Finished,2024,Miami,6,Race,True
63,RUS,Mercedes,7.0,8.0,Finished,2024,Miami,6,Race,True
14,ALO,Aston Martin,15.0,9.0,Finished,2024,Miami,6,Race,True
31,OCO,Alpine,13.0,10.0,Finished,2024,Miami,6,Race,True
27,HUL,Haas F1 Team,9.0,11.0,Finished,2024,Miami,6,Race,True
10,GAS,Alpine,12.0,12.0,Finished,2024,Miami,6,Race,True
81,PIA,McLaren,6.0,13.0,Finished,2024,Miami,6,Race,True
24,ZHO,Kick Sauber,19.0,14.0,Finished,2024,Miami,6,Race,True
3,RIC,RB,20.0,15.0,Finished,2024,Miami,6,Race,True
77,BOT,Kick Sauber,16.0,16.0,Finished,2024,Miami,6,Race,True
18,STR,Aston Martin,11.0,17.0,Finished,2024,Miami,6,Race,True
23,ALB,Williams,14.0,18.0,Finished,2024,Miami,6,Race,True
20,MAG,Haas F1 Team,18.0,19.0,Finished,2024,Miami,6,Race,True
2,SAR,Williams,17.0,20.0,Retired,2024,Miami,6,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2024,Emilia Romagna,7,Race,True
4,NOR,McLaren,2.0,2.0,Finished,2024,Emilia Romagna,7,Race,True
16,LEC,Ferrari,3.0,3.0,Finished,2024,Emilia Romagna,7,Race,True
81,PIA,McLaren,5.0,4.0,Finished,2024,Emilia Romagna,7,Race,True
55,SAI,Ferrari,4.0,5.0,Finished,2024,Emilia Romagna,7,Race,True
44,HAM,Mercedes,8.0,6.0,Finished,2024,Emilia Romagna,7,Race,True
63,RUS,Mercedes,6.0,7.0,Finished,2024,Emilia Romagna,7,Race,True
11,PER,Red Bull Racing,11.0,8.0,Finished,2024,Emilia Romagna,7,Race,True
18,STR,Aston Martin,13.0,9.0,Finished,2024,Emilia Romagna,7,Race,True
22,TSU,RB,7.0,10.0,Lapped,2024,Emilia Romagna,7,Race,True
27,HUL,Haas F1 Team,10.0,11.0,Lapped,2024,Emilia Romagna,7,Race,True
20,MAG,Haas F1 Team,18.0,12.0,Lapped,2024,Emilia Romagna,7,Race,True
3,RIC,RB,9.0,13.0,Lapped,2024,Emilia Romagna,7,Race,True
31,OCO,Alpine,12.0,14.0,Lapped,2024,Emilia Romagna,7,Race,True
24,ZHO,Kick Sauber,17.0,15.0,Lapped,2024,Emilia Romagna,7,Race,True
10,GAS,Alpine,15.0,16.0,Lapped,2024,Emilia Romagna,7,Race,True
2,SAR,Williams,19.0,17.0,Lapped,2024,Emilia Romagna,7,Race,True
77,BOT,Kick Sauber,16.0,18.0,Lapped,2024,Emilia Romagna,7,Race,True
14,ALO,Aston Martin,20.0,19.0,Lapped,2024,Emilia Romagna,7,Race,True
23,ALB,Williams,14.0,20.0,Retired,2024,Emilia Romagna,7,Race,False
16,LEC,Ferrari,1.0,1.0,Finished,2024,Monaco,8,Race,True
81,PIA,McLaren,2.0,2.0,Finished,2024,Monaco,8,Race,True
55,SAI,Ferrari,3.0,3.0,Finished,2024,Monaco,8,Race,True
4,NOR,McLaren,4.0,4.0,Finished,2024,Monaco,8,Race,True
63,RUS,Mercedes,5.0,5.0,Finished,2024,Monaco,8,Race,True
1,VER,Red Bull Racing,6.0,6.0,Finished,2024,Monaco,8,Race,True
44,HAM,Mercedes,7.0,7.0,Finished,2024,Monaco,8,Race,True
22,TSU,RB,8.0,8.0,Lapped,2024,Monaco,8,Race,True
23,ALB,Williams,9.0,9.0,Lapped,2024,Monaco,8,Race,True
10,GAS,Alpine,10.0,10.0,Lapped,2024,Monaco,8,Race,True
14,ALO,Aston Martin,14.0,11.0,Lapped,2024,Monaco,8,Race,True
3,RIC,RB,12.0,12.0,Lapped,2024,Monaco,8,Race,True
77,BOT,Kick Sauber,17.0,13.0,Lapped,2024,Monaco,8,Race,True
18,STR,Aston Martin,13.0,14.0,Lapped,2024,Monaco,8,Race,True
2,SAR,Williams,15.0,15.0,Lapped,2024,Monaco,8,Race,True
24,ZHO,Kick Sauber,18.0,16.0,Lapped,2024,Monaco,8,Race,True
31,OCO,Alpine,11.0,17.0,Retired,2024,Monaco,8,Race,False
11,PER,Red Bull Racing,16.0,18.0,Retired,2024,Monaco,8,Race,False
27,HUL,Haas F1 Team,19.0,19.0,Retired,2024,Monaco,8,Race,False
20,MAG,Haas F1 Team,20.0,20.0,Retired,2024,Monaco,8,Race,False
1,VER,Red Bull Racing,2.0,1.0,Finished,2024,Canadian,9,Race,True
4,NOR,McLaren,3.0,2.0,Finished,2024,Canadian,9,Race,True
63,RUS,Mercedes,1.0,3.0,Finished,2024,Canadian,9,Race,True
44,HAM,Mercedes,7.0,4.0,Finished,2024,Canadian,9,Race,True
81,PIA,McLaren,4.0,5.0,Finished,2024,Canadian,9,Race,True
14,ALO,Aston Martin,6.0,6.0,Finished,2024,Canadian,9,Race,True
18,STR,Aston Martin,9.0,7.0,Finished,2024,Canadian,9,Race,True
3,RIC,RB,5.0,8.0,Finished,2024,Canadian,9,Race,True
10,GAS,Alpine,15.0,9.0,Finished,2024,Canadian,9,Race,True
31,OCO,Alpine,18.0,10.0,Finished,2024,Canadian,9,Race,True
27,HUL,Haas F1 Team,17.0,11.0,Finished,2024,Canadian,9,Race,True
20,MAG,Haas F1 Team,14.0,12.0,Finished,2024,Canadian,9,Race,True
